Date;Symbol;Indexvalue
12.06.2000;V2TX;24.5714
13.06.2000;V2TX;24.1788
14.06.2000;V2TX;23.2305
15.06.2000;V2TX;24.1161
16.06.2000;V2TX;23.551
19.06.2000;V2TX;23.0801
20.06.2000;V2TX;22.3126
21.06.2000;V2TX;22.709
22.06.2000;V2TX;22.7119
23.06.2000;V2TX;22.6095
26.06.2000;V2TX;22.8163
27.06.2000;V2TX;22.7851
28.06.2000;V2TX;22.2728
29.06.2000;V2TX;23.5674
30.06.2000;V2TX;22.4188
03.07.2000;V2TX;22.6522
04.07.2000;V2TX;21.8585
05.07.2000;V2TX;22.6108
06.07.2000;V2TX;22.4538
07.07.2000;V2TX;21.4666
10.07.2000;V2TX;21.5763
11.07.2000;V2TX;21.2154
12.07.2000;V2TX;20.9498
13.07.2000;V2TX;20.4478
14.07.2000;V2TX;19.7817
17.07.2000;V2TX;19.6085
18.07.2000;V2TX;19.4081
19.07.2000;V2TX;20.4576
20.07.2000;V2TX;20.0856
21.07.2000;V2TX;20.3524
24.07.2000;V2TX;20.8416
25.07.2000;V2TX;20.573
26.07.2000;V2TX;20.6399
27.07.2000;V2TX;21.2491
28.07.2000;V2TX;22.5549
31.07.2000;V2TX;22.2473
01.08.2000;V2TX;22.4564
02.08.2000;V2TX;22.2791
03.08.2000;V2TX;23.1963
04.08.2000;V2TX;22.4068
07.08.2000;V2TX;22.2459
08.08.2000;V2TX;21.9573
09.08.2000;V2TX;21.7924
10.08.2000;V2TX;21.295
11.08.2000;V2TX;21.1817
14.08.2000;V2TX;20.6699
15.08.2000;V2TX;20.6954
16.08.2000;V2TX;20.2856
17.08.2000;V2TX;20.218
18.08.2000;V2TX;19.908
21.08.2000;V2TX;19.9801
22.08.2000;V2TX;19.9077
23.08.2000;V2TX;19.6149
24.08.2000;V2TX;19.8195
25.08.2000;V2TX;19.2467
28.08.2000;V2TX;19.7272
29.08.2000;V2TX;19.8354
30.08.2000;V2TX;20.1445
31.08.2000;V2TX;19.6192
01.09.2000;V2TX;19.1432
04.09.2000;V2TX;19.608
05.09.2000;V2TX;20.5245
06.09.2000;V2TX;20.6624
07.09.2000;V2TX;19.9145
08.09.2000;V2TX;20.4529
11.09.2000;V2TX;20.1723
12.09.2000;V2TX;20.0698
13.09.2000;V2TX;20.5915
14.09.2000;V2TX;20.3929
15.09.2000;V2TX;19.8744
18.09.2000;V2TX;21.1522
19.09.2000;V2TX;21.4403
20.09.2000;V2TX;22.0206
21.09.2000;V2TX;24.8499
22.09.2000;V2TX;24.4241
25.09.2000;V2TX;23.134
26.09.2000;V2TX;22.6903
27.09.2000;V2TX;22.387
28.09.2000;V2TX;21.9375
29.09.2000;V2TX;23.3527
02.10.2000;V2TX;23.5058
03.10.2000;V2TX;23.2025
04.10.2000;V2TX;23.5726
05.10.2000;V2TX;23.1713
06.10.2000;V2TX;23.228
09.10.2000;V2TX;25.2841
10.10.2000;V2TX;25.6899
11.10.2000;V2TX;27.7018
12.10.2000;V2TX;27.6395
13.10.2000;V2TX;28.6457
16.10.2000;V2TX;27.4471
17.10.2000;V2TX;26.9909
18.10.2000;V2TX;29.8545
19.10.2000;V2TX;27.5447
20.10.2000;V2TX;26.4015
23.10.2000;V2TX;26.5041
24.10.2000;V2TX;25.6512
25.10.2000;V2TX;26.7632
26.10.2000;V2TX;27.3998
27.10.2000;V2TX;26.3201
30.10.2000;V2TX;26.4888
31.10.2000;V2TX;25.3007
01.11.2000;V2TX;24.8817
02.11.2000;V2TX;24.4974
03.11.2000;V2TX;23.5439
06.11.2000;V2TX;24.153
07.11.2000;V2TX;24.3339
08.11.2000;V2TX;24.2379
09.11.2000;V2TX;24.2536
10.11.2000;V2TX;25.5209
13.11.2000;V2TX;28.0549
14.11.2000;V2TX;25.58
15.11.2000;V2TX;25.1041
16.11.2000;V2TX;24.9593
17.11.2000;V2TX;24.8839
20.11.2000;V2TX;26.3919
21.11.2000;V2TX;25.5011
22.11.2000;V2TX;26.9424
23.11.2000;V2TX;26.1599
24.11.2000;V2TX;25.3792
27.11.2000;V2TX;25.9746
28.11.2000;V2TX;26.2554
29.11.2000;V2TX;26.202
30.11.2000;V2TX;28.3822
01.12.2000;V2TX;27.2654
04.12.2000;V2TX;28.1715
05.12.2000;V2TX;26.1682
06.12.2000;V2TX;25.6741
07.12.2000;V2TX;25.8519
08.12.2000;V2TX;25.4143
11.12.2000;V2TX;24.7145
12.12.2000;V2TX;24.2173
13.12.2000;V2TX;23.8414
14.12.2000;V2TX;24.9575
15.12.2000;V2TX;25.5995
18.12.2000;V2TX;24.4511
19.12.2000;V2TX;24.3914
20.12.2000;V2TX;27.2206
21.12.2000;V2TX;27.9824
22.12.2000;V2TX;27.4624
27.12.2000;V2TX;27.03
28.12.2000;V2TX;26.7269
29.12.2000;V2TX;26.2264
02.01.2001;V2TX;27.7303
03.01.2001;V2TX;28.6179
04.01.2001;V2TX;26.9197
05.01.2001;V2TX;26.5915
08.01.2001;V2TX;27.2654
09.01.2001;V2TX;27.0958
10.01.2001;V2TX;26.4681
11.01.2001;V2TX;24.84
12.01.2001;V2TX;23.6527
15.01.2001;V2TX;23.7621
16.01.2001;V2TX;24.1272
17.01.2001;V2TX;23.4431
18.01.2001;V2TX;23.2996
19.01.2001;V2TX;22.7919
22.01.2001;V2TX;23.3179
23.01.2001;V2TX;23.1033
24.01.2001;V2TX;22.4584
25.01.2001;V2TX;22.0112
26.01.2001;V2TX;21.9228
29.01.2001;V2TX;22.0578
30.01.2001;V2TX;22.5248
31.01.2001;V2TX;22.2534
01.02.2001;V2TX;21.7483
02.02.2001;V2TX;21.1674
05.02.2001;V2TX;21.525
06.02.2001;V2TX;20.5066
07.02.2001;V2TX;20.7801
08.02.2001;V2TX;20.1604
